No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
21,CAS CONSTRUCTION,Carlow,"Gleann na Bearu, Royal Oak Road, Bagenalstown",6,Respond,,,,,Q4-2020,
22,CAS CONSTRUCTION,Carlow,"Homefield, Blackbog Road, Carlow",3,Carlow Voluntary Housing Association,,,,,,Q2-2021
23,SHIP CONSTRUCTION RENEWAL,Carlow,"Bog Lane, Borris",1,*N/A,,,,,,Q2-2022
24,CALF Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 1)",22,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
25,CALF Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 2)",35,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
26,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 1)*",17,Tuath Housing Association,,,,,,Q3-2021
27,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 2)*",15,Tuath Housing Association,,,,,,Q4-2021
28,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 3)*",21,Tuath Housing Association,,,,,,Q1-2022
29,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 4)",10,Tuath Housing Association,,,,,,Q2-2022
30,CALF Turnkey,Carlow,"Granite Court, Ballyknockan, Fenagh, Co Carlow (Phase 1)",8,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,
31,CALF Turnkey,Carlow,"Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 2)",6,Tuath Housing Association,,,,,,Q2-2021
32,CALF Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 2)*",19,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2022
33,CALF Turnkey,Carlow,"Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 1)",7,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,
34,CALF Turnkey,Carlow,"Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 2)*",12,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,
35,CALF Turnkey,Carlow,"The Millrace, Burrin, Co. Carlow (Phase 1)*",22,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
36,SHIP CONSTRUCTION TURNKEY,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",4,*N/A,,,,,,Q4-2021
37,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",4,*N/A,,,,,Q1-2021,
38,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",8,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
39,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
40,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
41,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell",10,*N/A,,,,,Q2-2021,
42,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell",10,*N/A,,,,,Q2-2021,
43,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell",11,*N/A,,,,,Q2-2021,
44,SHIP CONSTRUCTION TURNKEY,Cavan,"Abhainn Dubh, Rosehill, Mullagh",4,*N/A,,,,,,Q4-2021
45,SHIP CONSTRUCTION TURNKEY,Cavan,"Kilnavara Heights, Cavan Town",2,*N/A,,,,,Q1-2022,
46,SHIP CONSTRUCTION RENEWAL,Cavan,"Derrylurgan, Ballyjamesduff",12,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
47,SHIP CONSTRUCTION,Cavan,"Corstruce, Ballinagh",4,*N/A,,,,,,Q2-2021
48,SHIP CONSTRUCTION,Cavan,"Main Street, Mullagh",19,*N/A,,,,,Q4-2020,
49,SHIP CONSTRUCTION,Cavan,"Elm Grove, Main St, Cavan Town",13,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
50,SHIP CONSTRUCTION,Cavan,"Cavan Road, Ballinagh",15,*N/A,,,,,Q2-2021,
51,SHIP CONSTRUCTION,Cavan,"Main St., Butlersbridge",6,*N/A,,,,,Q2-2021,
52,SHIP CONSTRUCTION,Cavan,"Cluain Dara, Kingscourt",3,*N/A,,,,,,Q4-2021
53,SHIP CONSTRUCTION,Cavan,"Fairymount Close, Kingscourt, Co. Cavan",3,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
54,SHIP CONSTRUCTION,Cavan,"St. Bridgets Terrace, Cavan Town (Infill)",20,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
55,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",12,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
56,SHIP CONSTRUCTION,Cavan,"Duckin Stool, Main Street, Belturbet",3,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
57,SHIP CONSTRUCTION,Cavan,"The Widow's Row, Widow's House Lane, Belturbet",9,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
58,SHIP CONSTRUCTION,Cavan,"8 Units @ Ashgrove, Derrylurgan, Ballyjamesduff",8,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
59,SHIP CONSTRUCTION,Cavan,"Dunaree, Kingscourt Town Centre",3,N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
60,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",18,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
61,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",15,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
62,SHIP CONSTRUCTION,Cavan,"Main St Lower, Kilnaleck, Co Cavan",2,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
63,SHIP CONSTRUCTION,Cavan,"157 Barrack Road, Kilnaleck",4,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
64,SHIP CONSTRUCTION,Cavan,"Main St., Kilnaleck",7,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
65,CAS CONSTRUCTION RENEWAL,Cavan,"16 River St., Cavan",1,Society of Saint Vincent de Paul,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
66,CAS CONSTRUCTION,Cavan,"St. Killian's Housing Association Ltd., Mullagh, Co. Cavan",4,"St. Killian's Housing Association, Mullagh, Co. Cavan",,,,,Q1-2021,
67,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell",8,*N/A,,,,,,Q2-2022
68,CALF Turnkey,Cavan,"16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,Clanmil Housing Association Ireland,,,,,,Q4-2021
69,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,Tuath Housing Association,,,,,,Q2-2022
70,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",5,Tuath Housing Association,,,,,Q2-2021,
71,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Co. Cavan (Phase 3)",8,Tuath Housing Association,,,,,Q2-2021,
72,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 1)",5,Co - Operative Housing Ireland Society Limited,,,,,Q1-2020,
73,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 3)",6,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
74,CALF Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 2)",22,Clúid Housing,,,,,,Q2-2022
75,CALF Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 3)*",2,Clúid Housing,,,,,Q4-2019,
76,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,*N/A,,,,,,Q2-2022
77,SHIP CONSTRUCTION,Clare,"Doonaun, Tulla",25,*N/A,,,,,,Q2-2022
78,SHIP CONSTRUCTION TURNKEY,Clare,"Shantraud Woods, Killaloe",4,*N/A,,,,,,Q1-2022
79,SHIP CONSTRUCTION TURNKEY,Clare,"Cluain Greine, Drumcliff Rd., Ennis ",21,N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
80,SHIP CONSTRUCTION TURNKEY,Clare,"Main St., Mountshannon",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
81,SHIP CONSTRUCTION TURNKEY,Clare,"Cluain Greine, Drumcliff Rd., Ennis ",24,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
82,SHIP CONSTRUCTION SINGLE STAGE,Clare,"Madden's Terrace, Clarecastle",2,*N/A,,,,,Q2-2021,
83,SHIP CONSTRUCTION SINGLE STAGE,Clare,"Dun na Mara, Doonbeg",2,*N/A,,,,,,Q2-2021
84,SHIP CONSTRUCTION SINGLE STAGE,Clare,"St Senan’s Terrace, Kilrush -No5-No 6",2,*N/A,,,,,,Q3-2021
85,SHIP CONSTRUCTION RENEWAL,Clare,"Nagles Terrace, Kilrush",3,N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
86,SHIP CONSTRUCTION,Clare,"Ballard Rd,Miltown Malbay",27,*N/A,,,,,Q3-2020,
87,SHIP CONSTRUCTION,Clare,"Boheraroan, Newmarket-on-Fergus",18,*N/A,,,,,,Q1-2022
88,SHIP CONSTRUCTION,Clare,"Ballyminogue,Feakle Rd., Scariff",18,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
89,SHIP CONSTRUCTION,Clare,"Kilkee Road, Doonbeg",8,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
90,SHIP CONSTRUCTION,Clare,"Tulla Road, Roslevan, Ennis (Fannings site)",8,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
91,SHIP CONSTRUCTION,Clare,"Drumcliffe Road, Ennis",26,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
92,SHIP CONSTRUCTION,Clare,"Deerpark, Ennistymon",30,*N/A,"Stage 1 approved Q1-2021, outline design and costs being prepared.",,,,,
93,SHIP CONSTRUCTION,Clare,"Ballyliddan West, Sixmilebridge",15,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
94,SHIP CONSTRUCTION,Clare,Gort Road Ennis,20,N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
95,CAS CONSTRUCTION TURNKEY,Clare,"Market Sq., Ennis",14,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
96,CAS CONSTRUCTION,Clare,"Teach Rua, Edenvale Ennis",4,Newgrove Housing Association Ltd,,,,,,Q2-2021
97,SHIP CONSTRUCTION TURNKEY,Clare,"Cluain Greine, Drumcliff Rd., Ennis ",12,N/A,,,,,,Q2-2022
98,CALF Turnkey,Clare,"Abbey View, Limerick Road, Ennis, Co. Clare (Phase 1)",9,Clúid Housing,,,,,Q4-2021,
99,CALF Turnkey,Clare,"Abbey View, Limerick Road, Ennis, Co. Clare (Phase 2)*",15,Clúid Housing,,,,,Q4-2021,
100,CALF Turnkey,Clare,"Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,Clúid Housing,,,,,,Q1-2022
101,CALF Turnkey,Clare,"Cluain Na Laoi, Kilkishen, Co. Clare (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,,,Q1-2022,,
102,CALF Turnkey,Clare,"Cluain Na Laoi, Kilkishen, Co. Clare (Phase 2)",10,Circle Voluntary Housing Association Ltd,,,,Q1-2022,,
103,CALF Turnkey,Clare,"Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 2)*",2,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021
104,CALF Turnkey,Clare,"Limerick Rd, Ennis, Co. Clare (Phase 1)*",18,Inis Housing Association,,,,,Q1-2022,
105,CALF Construction,Clare,"Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,Co - Operative Housing Ireland Society Limited,,,,Q2-2021,,
106,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 1)",14,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
107,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 2)*",15,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2022
108,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 3)*",24,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
109,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 4)*",16,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,
110,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East (Phase 1),20,*N/A,,,,,,Q2-2021
111,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East (Phase 2),31,*N/A,,,,,,Q3-2021
112,SHIP DIALOG,Cork City,Barrack Street,32,*N/A,,,,,Q1-2019,
113,SHIP DIALOG,Cork City,Woods Street,16,*N/A,,,,,Q1-2019,
114,SHIP DIALOG,Cork City,Corkeran's Quay,3,*N/A,,,,,Q2-2018,
115,SHIP DIALOG,Cork City,"Coach Street, Cork",13,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,
116,SHIP DIALOG,Cork City,"Shanakiel Road, Cork",20,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,
117,SHIP DIALOG,Cork City,"Spring Lane, Blackpool, Cork",8,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,
118,SHIP DIALOG,Cork City,"Glen Ryan Road, Cork",9,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,
119,SHIP DIALOG,Cork City,"Watercourse Road, Blackpool, Cork",37,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,
120,SHIP DIALOG,Cork City,"Denroche's Cross, Glasheen Road, Cork",43,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
121,SHIP DIALOG,Cork City,"Wolsey Court, Blackpool, Cork",49,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,
122,SHIP DIALOG,Cork City,"Sunview, South Douglas Road, Douglas, Cork",25,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
123,SHIP DIALOG,Cork City,"Former Bolands Mill, Old Mallow Road",54,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
124,SHIP DIALOG,Cork City,"KILLEENS, CO CORK",44,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
125,SHIP DIALOG,Cork City,"Church Road, Black Rock, Cork",30,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
126,SHIP DIALOG,Cork City,"East Cliff Road, Glanmire, Farranferris",81,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
127,SHIP DIALOG,Cork City,Kinsale road Cork City,47,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
128,SHIP DIALOG,Cork City,"Ballincrokig, Ballyvolane",72,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
129,SHIP DIALOG,Cork City,"Greenvalley, Douglas, Cork City",27,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
130,SHIP DIALOG,Cork City,Farranferris Cork City,26,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
131,SHIP DIALOG,Cork City,Grange Scairt Cross,59,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
132,SHIP DIALOG,Cork City,"21-22 Dominick Street, Shandon, Cork City",9,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
133,SHIP DIALOG,Cork City,"Hawkes Road, Bishopstown Road, Bishopstown, Cork City",29,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
134,SHIP DIALOG,Cork City,Lower John Street,3,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
135,SHIP CONSTRUCTION RENEWAL,Cork City,38 Gould Street,1,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
136,SHIP CONSTRUCTION RENEWAL,Cork City,"1 Evenus Ville, Albert Road, Cork City",1,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
137,SHIP CONSTRUCTION RENEWAL,Cork City,"Ard na Ri, Pouladuff Road, Cork City",1,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
138,SHIP CONSTRUCTION RENEWAL,Cork City,"Mount Eden Road, Cork City",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
139,SHIP CONSTRUCTION RENEWAL,Cork City,21 St Anthony's Road,1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
140,SHIP CONSTRUCTION RENEWAL,Cork City,26 Watercourse Road ,1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
141,SHIP CONSTRUCTION RENEWAL,Cork City,22 Summerstown Grove,1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
142,SHIP CONSTRUCTION RENEWAL,Cork City,2A Fairhill,1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
143,SHIP CONSTRUCTION RENEWAL,Cork City,99 Ballinderry Park,1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
144,SHIP CONSTRUCTION DESIGN BUILD,Cork City,"Clover Hill Court, Bessboro Road, Mahon, Cork",88,*N/A,"Stage 1 approved Q2-2019, outline design and costs being prepared.",,,,,
145,SHIP CONSTRUCTION,Cork City,"Poulavone, Ballincollig",64,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
146,SHIP CONSTRUCTION,Cork City,Boyces Street,14,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
147,SHIP CONSTRUCTION,Cork City,"Madonna House, Ballincollig",6,*N/A,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,
148,SHIP CONSTRUCTION,Cork City,Bramble Cottages,4,*N/A,,"Stage 2 approved Q3-2019, full design/tender being prepared.",,,,
149,SHIP CONSTRUCTION,Cork City,"Errigal Heights, The Glen, Cork City",28,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,
150,SHIP CONSTRUCTION,Cork City,"Glenamoy Lawn, Mayfield, Cork",3,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
151,SHIP CONSTRUCTION,Cork City,"Hollywood Estate Infill Housing, Blarney Road, Cork",7,*N/A,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,
152,SHIP CONSTRUCTION,Cork City,"Westside, Model Farm Road, Cork",43,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
153,SHIP CONSTRUCTION,Cork City,"16A Kerry Road (former Slí Gartan), Mayfield, Cork ",1,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
154,SHIP CONSTRUCTION,Cork City,Boyces street,37,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
155,SHIP CONSTRUCTION,Cork City,"15 Loughview terrace, The Lough, Glasheen Cork City",1,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
156,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 1C,41,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
157,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 2B,38,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
158,REGENERATION,Cork City,"Foyle Avenue Infill Housing Development, Knocknaheeny, Cork",2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
159,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 3B,62,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
160,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 4A,43,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
161,CAS CONSTRUCTION SINGLE STAGE,Cork City,"Eastville, Albert Road, Cork",1,Galtan Ltd,,,,,,Q1-2022
162,CAS CONSTRUCTION SINGLE STAGE,Cork City,14 Glanmire Road Cork,2,Galtan Ltd,,,,,,Q1-2022
163,CAS CONSTRUCTION,Cork City,"Ard na Ri, Closes Green, Farranree, Cork",20,Farranree Sheltered Housing Association,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
164,CAS CONSTRUCTION,Cork City,"Apts 2 & 3 Cois Coille, Tivoli, Cork",2,Galtan Ltd,,,,,,Q4-2021
165,CAS CONSTRUCTION,Cork City,"Aras Lean, Murphy’s Farm, Bishopstown, Co. Cork",25,Citizens Housing Association,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
166,CAS CONSTRUCTION,Cork City,"Gardiners Hill, St Lukes, Cork ",3,Focus Ireland,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
167,CAS CONSTRUCTION,Cork City,88 Sundays Well,2,Galtan Ltd,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
168,SHIP DIALOG,Cork City,"Skehard Road, Blackrock, Cork",16,*N/A,,,,,,Q2-2022
169,SHIP DIALOG,Cork City,"Pouladuff Road, Cork ",11,*N/A,,,,,,Q2-2022
170,CALF Turnkey,Cork City,"12,14,15 Model Quarters, Tower, Blarney, Co Cork  (Phase 1)",3,Circle Voluntary Housing Association Ltd,,,,,Q2-2019,
171,CALF Turnkey,Cork City,20 and 21 Kyle Street  (Phase 1),6,Focus Housing Association CLG,,,,,Q2-2021,
172,CALF Turnkey,Cork City,"40-42 Grand Parade, Cork City (Phase 1)",16,Focus Housing Association CLG,,,,,Q2-2021,
173,CALF Turnkey,Cork City,"Baker Street, Ballincollig, Co Cork (Phase 1)*",14,Clúid Housing,,,,Q2-2022,,
174,CALF Turnkey,Cork City,"Barters Wood, Tower, Cork (Phase 1)*",3,Tuath Housing Association,,,,,,Q2-2022
175,CALF Turnkey,Cork City,"Barters Wood, Tower, Cork (Phase 2)*",3,Tuath Housing Association,,,,,,Q2-2022
176,CALF Turnkey,Cork City,"Block 10 Jacobs Island, Mahon, Cork (Phase 1)",69,Respond,,,,Q2-2021,,
177,CALF Turnkey,Cork City,"Boherboy Road, Silversprings Hill, Cork City  (Phase 1)*",15,Respond,,,,,Q1-2022,
178,CALF Turnkey,Cork City,"Brocklesby Street, Blackpool, Cork City (Phase 1)*",42,Focus Housing Association CLG,,,,Q1-2022,,
179,CALF Turnkey,Cork City,"Evergreen Road, Turners Cross, Cork  (Phase 1)*",28,Respond,,,,,Q1-2021,
180,CALF Turnkey,Cork City,"Fairfield Meadows, Upper Fair Hill, Cork (Phase 1)*",18,Focus Housing Association CLG,,,,Q2-2022,,
181,CALF Turnkey,Cork City,"Glanmire Village, Glanmire, Cork
 (Phase 1)",3,Focus Housing Association CLG,,,,,,Q2-2022
182,CALF Construction,Cork City,"Green Lane, Blackpool, Cork City (Phase 1)",112,Clúid Housing,,,,,Q4-2021,
183,CALF Turnkey,Cork City,"Haig Gardens, Boreenamanna Road and Wallace Avenue, Ballintemple (Phase 1)*",27,Respond,,,,,Q2-2021,
184,CALF Turnkey,Cork City,"Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,Respond,,,,,Q1-2020,
185,CALF Turnkey,Cork City,"Lancaster Gate, Western Road, Cork (Phase 1)",15,Clúid Housing,,,,,Q3-2021,
